pattern,direction,variant,final_cumulative_capture_count,event,time_s,command,capture_increments
light_short_pulse,positive,vane_only,1,release,0.9,0.25,1
light_short_pulse,positive,moving_mass_assist,1,release,0.9,0.25,1
light_short_pulse,negative,vane_only,1,release,0.9,-0.25,1
light_short_pulse,negative,moving_mass_assist,1,release,0.9,-0.25,1
medium_pulse,positive,vane_only,1,release,1.5,0.5,1
medium_pulse,positive,moving_mass_assist,1,release,1.5,0.5,1
medium_pulse,negative,vane_only,1,release,1.5,-0.5,1
medium_pulse,negative,moving_mass_assist,1,release,1.5,-0.5,1
full_long_hold,positive,vane_only,1,release,2.5,1.0,1
full_long_hold,positive,moving_mass_assist,1,release,2.5,1.0,1
full_long_hold,negative,vane_only,1,release,2.5,-1.0,1
full_long_hold,negative,moving_mass_assist,1,release,2.5,-1.0,1
small_sustained,positive,vane_only,1,release,2.5,0.25,1
small_sustained,positive,moving_mass_assist,1,release,2.5,0.25,1
small_sustained,negative,vane_only,1,release,2.5,-0.25,1
small_sustained,negative,moving_mass_assist,1,release,2.5,-0.25,1
move_stop_move,positive,vane_only,2,release,1.5,0.6,1
move_stop_move,positive,vane_only,2,release,4.5,0.6,1
move_stop_move,positive,moving_mass_assist,2,release,1.5,0.6,1
move_stop_move,positive,moving_mass_assist,2,release,4.5,0.6,1
move_stop_move,negative,vane_only,2,release,1.5,-0.6,1
move_stop_move,negative,vane_only,2,release,4.5,-0.6,1
move_stop_move,negative,moving_mass_assist,2,release,1.5,-0.6,1
move_stop_move,negative,moving_mass_assist,2,release,4.5,-0.6,1
commanded_reversal,positive,vane_only,1,release,3.5,-0.6,1
commanded_reversal,positive,moving_mass_assist,1,release,3.5,-0.6,1
commanded_reversal,negative,vane_only,1,release,3.5,0.6,1
commanded_reversal,negative,moving_mass_assist,1,release,3.5,0.6,1
repeated_pulse_release,positive,vane_only,1,release,1.1,0.5,0
repeated_pulse_release,positive,vane_only,1,release,2.5,0.5,0
repeated_pulse_release,positive,vane_only,1,release,3.9,0.5,1
repeated_pulse_release,positive,moving_mass_assist,1,release,1.1,0.5,0
repeated_pulse_release,positive,moving_mass_assist,1,release,2.5,0.5,0
repeated_pulse_release,positive,moving_mass_assist,1,release,3.9,0.5,1
repeated_pulse_release,negative,vane_only,1,release,1.1,-0.5,0
repeated_pulse_release,negative,vane_only,1,release,2.5,-0.5,0
repeated_pulse_release,negative,vane_only,1,release,3.9,-0.5,1
repeated_pulse_release,negative,moving_mass_assist,1,release,1.1,-0.5,0
repeated_pulse_release,negative,moving_mass_assist,1,release,2.5,-0.5,0
repeated_pulse_release,negative,moving_mass_assist,1,release,3.9,-0.5,1
gradual_taper,positive,vane_only,1,release,2.5,0.25,1
gradual_taper,positive,moving_mass_assist,1,release,2.5,0.25,1
gradual_taper,negative,vane_only,1,release,2.5,-0.25,1
gradual_taper,negative,moving_mass_assist,1,release,2.5,-0.25,1
